id,title,description,category,brand,color,size,material,price,rating
1,Running Shoes Model 1,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Green,8,Synthetic,5219,3.9
2,Wireless Headphones Model 2,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Blue,Standard,Leather,12765,3.9
3,Running Shoes Model 3,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Gray,11,Glass,5172,4.1
4,Running Shoes Model 4,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Black,10,Mesh,3998,4.3
5,Running Shoes Model 5,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Black,7,Mesh,3519,4.6
6,Wireless Headphones Model 6,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Black,Standard,Aluminum,10189,4.5
7,Laptop Model 7,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,White,15.6 inch,Plastic,119403,3.6
8,Laptop Model 8,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Blue,15.6 inch,Mesh,92605,3.7
9,Laptop Model 9,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Black,13 inch,Plastic,60861,4.4
10,Wireless Headphones Model 10,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Blue,Standard,Glass,4275,3.9
11,Laptop Model 11,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Green,14 inch,Glass,42569,3.8
12,Wireless Headphones Model 12,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Black,Standard,Synthetic,5256,4.7
13,Laptop Model 13,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,15.6 inch,Aluminum,83277,3.8
14,Wireless Headphones Model 14,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Black,Standard,Mesh,10990,3.8
15,Laptop Model 15,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Red,15.6 inch,Glass,96033,3.8
16,Wireless Headphones Model 16,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Black,Standard,Glass,9433,4.2
17,Laptop Model 17,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Red,14 inch,Leather,98174,4.2
18,Laptop Model 18,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Gray,14 inch,Synthetic,84758,4.1
19,Running Shoes Model 19,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,White,7,Mesh,5973,4.9
20,Running Shoes Model 20,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Blue,6,Plastic,5479,5.0
21,Wireless Headphones Model 21,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Red,Standard,Glass,9860,4.9
22,Laptop Model 22,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Green,14 inch,Leather,91129,4.3
