id,title,description,category,price,rating,attributes
P001,Wireless Bluetooth Headphones,Premium noise-cancelling wireless headphones with 30-hour battery life and superior sound quality,Electronics,129.99,4.5,"{""color"": ""black"", ""brand"": ""AudioTech"", ""wireless"": true}"
P002,Organic Green Tea,100% organic green tea leaves sourced from high-altitude farms with antioxidant properties,Food & Beverages,12.99,4.8,"{""organic"": true, ""weight"": ""100g"", ""origin"": ""Japan""}"
P003,Yoga Mat Premium,Extra thick eco-friendly yoga mat with non-slip surface perfect for all types of yoga,Sports & Fitness,49.99,4.7,"{""thickness"": ""6mm"", ""material"": ""TPE"", ""color"": ""purple""}"
P004,Smart Watch Fitness Tracker,Advanced fitness tracker with heart rate monitor sleep tracking and 50+ sport modes,Electronics,199.99,4.6,"{""waterproof"": true, ""battery_days"": 7, ""screen"": ""AMOLED""}"
P005,Ceramic Coffee Mug Set,Handcrafted ceramic coffee mugs set of 4 with beautiful minimalist design,Home & Kitchen,34.99,4.4,"{""pieces"": 4, ""material"": ""ceramic"", ""dishwasher_safe"": true}"
P006,Running Shoes Professional,Lightweight professional running shoes with advanced cushioning and breathable mesh,Sports & Fitness,89.99,4.9,"{""brand"": ""SpeedRunner"", ""size_range"": ""6-13"", ""color_options"": [""blue"", ""red""]}"
P007,Laptop Backpack,Water-resistant laptop backpack with USB charging port and multiple compartments,Accessories,59.99,4.5,"{""laptop_size"": ""15.6 inch"", ""usb_port"": true, ""waterproof"": true}"
P008,Stainless Steel Water Bottle,Insulated stainless steel water bottle keeps drinks cold for 24 hours hot for 12 hours,Sports & Fitness,24.99,4.7,"{""capacity"": ""750ml"", ""insulated"": true, ""bpa_free"": true}"
P009,LED Desk Lamp,Adjustable LED desk lamp with touch control and USB charging port energy efficient,Home & Office,39.99,4.6,"{""brightness_levels"": 5, ""color_temp_adjustable"": true, ""usb_port"": true}"
P010,Plant-Based Protein Powder,Premium plant-based protein powder with complete amino acids chocolate flavor,Health & Wellness,44.99,4.8,"{""protein_per_serving"": ""25g"", ""vegan"": true, ""flavor"": ""chocolate""}"
